ticker,date_local,mean_sent,std_sent,max_abs_sent,n_articles,pos_rate,neg_rate,mean_sent_r3,mean_sent_r5,n_articles_r3,n_articles_r5
AAPL,2020-03-09,-0.33304315168637305,0.5159445532556847,0.9991247057914734,6,0.0,0.3333333333333333,-0.33304315168637305,-0.33304315168637305,6.0,6.0
AAPL,2020-03-10,-0.5145359873998814,0.4477184899141461,0.999980092048645,16,0.0,0.625,-0.4237895695431272,-0.4237895695431272,11.0,11.0
AAPL,2020-03-11,-0.2773930125100768,0.8002333369201422,0.9999998807907104,28,0.21428571428571427,0.5,-0.374990717198777,-0.374990717198777,16.666666666666668,16.666666666666668
AAPL,2020-03-12,0.13722412288188934,0.7577273331947211,0.9999991059303284,10,0.4,0.4,-0.21823495900935627,-0.24693700717861045,18.0,15.0
AAPL,2020-03-13,0.21420403774977165,0.5776382701914415,0.9999998807907104,22,0.2727272727272727,0.09090909090909091,0.02467838270719473,-0.15470879819293404,20.0,16.4
AAPL,2020-03-14,-0.0003830336399914813,0.0004747396645999855,0.0007941702497191727,4,0.0,0.0,0.1170150423305565,-0.08817677458365772,12.0,16.0
AAPL,2020-03-15,-0.0014833217655905173,0.00252711157247153,0.005576449446380138,8,0.0,0.0,0.07077922744806321,0.014433758543200448,11.333333333333334,14.4
AAPL,2020-03-16,-0.03143857661972437,0.5934915708104389,0.9999855756759644,22,0.18181818181818182,0.18181818181818182,-0.011101644008435456,0.06362464572127094,11.333333333333334,13.2
AAPL,2020-03-17,0.15831814003488867,0.5239080139543852,1.0,24,0.25,0.08333333333333333,0.041798747216524594,0.0678434491518708,18.0,16.0
AAPL,2020-03-18,-0.4673381034499471,0.4991485667167726,0.9999991059303284,8,0.0,0.5,-0.11348618001159427,-0.06846497908807295,18.0,13.2
AAPL,2020-03-19,0.45824411883950233,0.565003758916537,0.9475517272949219,4,0.5,0.0,0.0497413851414813,0.02326045140782581,12.0,13.2
AAPL,2020-03-20,0.49996479420224205,0.577390921343251,1.0,4,0.5,0.0,0.16362360319726577,0.1235500746013923,5.333333333333333,12.4
AAPL,2020-03-21,0.0061857919208705425,0.0,0.0061857919208705425,2,0.0,0.0,0.321464901654205,0.13107494830951133,3.3333333333333335,8.4
AAPL,2020-03-23,-0.21576706121686584,0.6337383084042006,0.9999995231628418,16,0.125,0.375,0.09679450830208225,0.05625790805916041,7.333333333333333,6.8
AAPL,2020-03-24,-0.12108749061610524,0.6330925986689314,1.0,14,0.14285714285714285,0.2857142857142857,-0.11022291997070018,0.12550803062592877,10.666666666666666,8.0
AAPL,2020-03-25,0.5557202716679512,0.5215675323718092,0.9999992847442627,24,0.5833333333333334,0.0,0.07295523994499338,0.14500326119161855,18.0,12.0
